Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Kyle Manzardo","CLE",14,53,2,5,6,1,0.075471698,0.283018867,0.204081633,0.28125,0.224489795,0.283018867,0.428571428,0.30935790853680306,,98.83124681303875,0.1586888775927946,0.08819005407312183,-1.0842602509073913,0.0782208070541631,"Kyle Manzardo",29794,700932
"Carson Kelly","CHC",13,53,1,8,2,0,0.113207547,0.207547169,0.106382979,0.257142857,0.212765957,0.301886792,0.319148936,0.28288385440718455,,81.18211241066153,-0.4111528075300157,-1.566356862411735,0.40655195619910955,0.05999893009362403,"Carson Kelly",13620,608348
"Mark Vientos","NYM",16,61,1,6,3,0,0.032786885,0.213114754,0.087719298,0.363636363,0.298245614,0.327868852,0.385964912,0.3141749286260761,,103.64517515633226,-0.059769923449493945,0.19777927454831878,-1.6647739002946764,0.055260247295726414,"Mark Vientos",22184,668901
"Yandy Díaz","TBR",14,59,2,3,10,1,0.06779661,0.13559322,0.12962963,0.25,0.24074074,0.305084745,0.37037037,0.30178160485574756,,96.30733615297251,0.1356207539793104,-0.11233544940285212,-1.355213617789559,0.049622510243343854,"Yandy Diaz",16578,650490
"Joc Pederson","TEX",16,56,2,6,5,0,0.214285714,0.142857142,0.181818181,0.147058823,0.159090909,0.339285714,0.34090909,0.3156319484114647,,102.00521478165558,-0.0023144655860960484,0.12548590591205455,-1.5272574737900868,0.046175969224568264,"Joc Pederson",11899,592626
"Elly De La Cruz","CIN",18,77,3,10,9,3,0.077922077,0.311688311,0.183098592,0.25,0.197183098,0.259740259,0.38028169,0.2814771718793101,,71.07664529136382,0.7912499639205635,-1.7883440116489604,-0.33371739834547043,0.04153472467938217,"Elly De La Cruz",26668,682829
"Ryan Mountcastle","BAL",16,69,0,5,6,0,0.028985507,0.217391304,0.090909091,0.365384615,0.287878787,0.304347826,0.378787878,0.29769233430641284,,92.04323820995165,-0.591389091219753,-1.216228825325012,-0.8581472616642714,0.02064501628823978,"Ryan Mountcastle",18373,663624
"Lawrence Butler","ATH",15,66,1,4,7,2,0.06060606,0.242424242,0.14516129,0.266666666,0.209677419,0.257575757,0.354838709,0.26940418915315106,,69.94355560215133,0.9453278230503201,-1.3123643674443555,-0.6827930302824825,0.018601867041253356,"Lawrence Butler",22542,671732
"Angel Martínez","CLE",15,52,1,7,5,2,0.057692307,0.192307692,0.083333334,0.27027027,0.229166666,0.288461538,0.3125,0.27207605082255143,,72.78273505752867,0.3875523041933775,-1.2232083639486124,-0.3462932435795665,0.014910837375698854,"Angel Martinez",26540,682657
"Jarren Duran","BOS",17,76,1,9,11,1,0.039473684,0.276315789,0.166666666,0.32,0.236111111,0.276315789,0.402777777,0.29455741769389104,,81.5448050893528,-0.17395119834691286,-1.7702545312276063,-0.6714950812165625,0.006354454862518968,"Jarren Duran",24617,680776
"Xavier Edwards","MIA",12,54,0,4,2,5,0.129629629,0.203703703,0,0.333333333,0.260869565,0.351851851,0.260869565,0.2874948967386175,,79.11157832349964,-0.007972609717398882,-1.3144784367121074,-0.48745574802160263,-0.0036287844582949744,"Xavier Edwards",22266,669364
